DAY,SALES_VALUE
300,2.29
301,2.29
306,4.58
309,2.29
312,2.29
313,2.29
316,2.49
319,12.450000000000001
320,2.49
327,6.87
330,1.59
332,1.89
334,7.56
335,3.78
338,5.67
339,5.67
340,1.89
341,1.89
342,7.56
343,3.78
344,1.89
345,15.12
347,15.12
351,12.0
355,12.0
356,2.29
359,2.29
362,6.87
363,9.16
365,2.29
366,4.58
367,22.9
368,6.87
369,4.58
370,18.32
371,4.58
372,2.29
373,6.87
374,11.45
376,11.45
377,6.87
378,2.29
379,4.58
381,2.29
382,6.87
383,6.87
384,9.16
385,2.29
387,2.29
388,6.87
390,2.29
391,13.74
396,9.16
397,11.45
398,2.29
399,2.29
401,9.16
402,6.87
403,9.16
404,16.03
405,4.58
406,6.87
407,2.29
409,2.29
410,6.87
411,11.45
412,2.29
413,4.58
417,6.87
418,4.58
419,4.58
421,2.29
422,2.29
423,6.87
424,6.87
425,13.74
426,2.29
427,6.87
431,4.58
432,9.16
433,4.58
435,9.16
436,2.29
437,2.29
439,20.61
442,4.58
444,4.58
445,2.0
446,4.58
448,10.0
449,6.0
450,11.5
451,10.0
452,8.0
453,12.0
454,2.29
455,4.58
457,2.29
458,2.29
459,9.16
460,9.16
461,6.87
462,4.58
464,2.29
466,2.29
467,11.45
470,4.58
471,13.74
472,9.16
473,2.29
474,13.74
475,6.87
476,2.29
477,9.16
479,6.87
480,9.16
481,4.58
482,11.45
483,6.87
484,2.29
485,11.45
486,6.87
487,4.58
488,9.16
489,11.45
492,2.29
494,2.29
495,6.87
496,4.58
497,18.32
498,6.87
499,6.87
500,9.16
501,6.87
502,18.32
503,4.58
505,13.74
506,2.29
508,9.16
509,4.58
510,4.58
512,6.87
513,2.29
515,6.87
516,4.58
517,16.03
518,6.87
519,2.29
520,9.16
521,4.58
522,6.87
523,9.16
524,4.58
525,11.45
526,6.87
527,2.29
528,4.58
529,9.16
530,6.87
531,4.58
532,16.0
534,6.0
535,6.0
536,2.0
537,16.0
538,2.29
539,6.87
540,6.87
542,2.29
543,4.58
545,4.58
547,4.58
548,4.58
549,9.16
550,4.58
553,2.29
554,6.87
556,4.58
558,4.58
559,2.29
562,13.74
563,2.29
564,7.0
565,9.16
566,1.88
568,7.52
569,7.52
570,13.16
571,3.76
572,5.64
573,7.52
574,9.4
575,11.28
576,7.52
577,3.76
578,5.64
579,20.68
580,1.88
582,5.64
583,9.399999999999999
585,5.64
586,9.399999999999999
587,16.919999999999998
588,9.399999999999999
590,7.52
591,1.88
592,5.64
593,13.57
594,11.45
595,4.58
597,4.58
598,9.16
599,13.74
600,4.58
601,8.75
602,13.74
603,2.34
604,2.29
607,24.78
608,2.29
610,2.29
614,4.17
615,9.16
616,9.16
617,6.87
618,4.58
620,2.29
621,27.61
622,6.87
623,11.45
627,2.29
628,16.03
629,2.29
630,2.29
631,6.87
633,6.96
635,20.61
639,2.29
642,2.29
644,14.0
645,8.0
646,2.0
647,6.0
648,8.0
650,14.0
651,2.29
652,2.29
655,2.29
656,9.16
657,9.16
659,4.58
662,2.29
663,2.29
664,6.68
666,1.67
668,9.58
670,8.969999999999999
671,11.45
672,4.58
675,2.29
676,11.45
677,2.29
678,11.45
679,2.29
680,9.16
681,4.58
682,2.29
683,7.07
684,16.03
685,16.919999999999998
686,5.64
687,7.52
688,3.76
689,1.88
690,5.64
691,5.64
692,9.399999999999999
693,3.76
694,3.76
695,3.76
696,7.52
697,9.399999999999999
698,7.52
699,1.88
700,7.52
701,1.88
705,13.16
706,9.399999999999999
707,11.28
708,1.88
