DAY,SALES_VALUE
101,84.74000000000001
102,73.15
103,103.13
104,129.61
105,50.07
106,53.82
107,47.99
108,36.13
109,70.45
110,97.38
111,26.580000000000002
112,50.41
113,62.03
114,62.08
115,80.22
116,55.97
117,73.97
118,61.120000000000005
119,46.75
120,63.92
121,57.43
122,68.06
123,64.85
124,116.8
125,63.42
126,51.019999999999996
127,52.65
128,41.65
129,37.66
130,57.93
131,103.68
132,81.75
133,78.59
134,81.21000000000001
135,64.98
136,43.49
137,86.44
138,116.73
139,87.95
140,56.59
141,59.53
142,38.51
143,65.75
144,68.95
145,82.2
146,95.49
147,102.96000000000001
148,72.25
149,58.63
150,109.19
151,127.02
152,82.69
153,65.75
154,54.74
155,57.46
156,72.46000000000001
157,91.37
158,86.86
159,120.44
160,113.95
161,54.28
162,47.02
163,51.33
164,60.56
165,101.51
166,72.2
167,83.17
168,78.05
169,84.43
170,48.49
171,35.230000000000004
172,51.45
173,103.62
174,51.62
175,68.78
176,63.64
177,70.83
178,67.64
179,102.93
180,127.83
181,67.72
182,58.12
183,72.8
184,81.01
185,102.8
186,87.01
187,124.24
188,84.69
189,64.35
190,79.35
191,73.09
192,75.12
193,94.37
194,153.34
195,50.7
196,60.81
197,74.65
198,54.13
199,52.92
200,102.22
201,91.53999999999999
202,53.099999999999994
203,50.39
204,52.78
205,53.53
206,55.629999999999995
207,59.47
208,80.92999999999999
209,48.88
210,33.16
211,68.2
212,50.21
213,65.55
214,78.42
215,115.34
216,59.74
217,52.53
218,60.050000000000004
219,60.65
220,85.64
221,72.89
222,74.32
223,61.29
224,55.59
225,52.11
226,74.46000000000001
227,46.0
228,93.09
229,102.83
230,51.68
231,66.95
232,77.54
233,31.13
234,39.79
235,71.23
236,90.61
237,71.93
238,58.36
239,56.15
240,44.67
241,77.73
242,80.26
243,132.16
244,114.0
245,84.75
246,108.25
247,15.57
248,41.83
249,70.39
250,85.07
251,36.519999999999996
252,43.17
253,63.01
254,64.89
255,73.47
256,133.47
257,135.13
258,149.04
259,63.81
260,52.76
261,99.7
262,61.050000000000004
263,68.31
264,76.43
265,42.23
266,89.87
267,53.9
268,39.92
269,43.41
270,71.04
271,69.61
272,67.8
273,70.91
274,62.29
275,98.12
276,134.08
277,62.54
279,60.57
280,29.36
281,63.34
282,36.33
283,53.54
284,69.65
285,63.74
286,116.93
287,68.10000000000001
288,65.77
289,57.31
290,62.57
291,57.230000000000004
292,140.69
293,72.59
294,35.47
295,66.1
296,83.15
297,84.07
298,125.87
299,81.23
300,93.62
301,42.84
302,49.85
303,72.85
304,69.22
305,95.35
306,146.53
307,105.3
308,91.12
309,43.2
310,66.19
311,80.24
312,118.96
313,106.33
314,65.25
315,53.91
316,59.54
317,81.78999999999999
318,83.52
319,114.28999999999999
320,90.76
321,122.86
322,66.04
323,59.63
324,75.6
325,101.16
326,66.8
327,155.41
328,81.32
329,56.21
330,66.31
331,63.06
332,75.31
333,113.0
334,80.03
335,84.46000000000001
336,63.81
337,54.63
338,23.43
339,47.3
340,109.11
341,80.93
342,72.53
343,88.61
344,74.67
345,116.19
346,78.34
347,101.95
348,149.26
349,72.64
350,51.31
351,60.08
352,43.74
353,41.22
354,59.839999999999996
355,108.4
356,95.06
357,33.22
358,44.97
359,64.0
360,61.99
361,84.69
362,106.11
363,129.09
364,56.82
365,42.57
366,38.23
367,87.96
368,107.46000000000001
369,122.71
370,75.84
371,84.50999999999999
372,109.75
373,60.28
374,37.33
375,89.48
376,111.44
377,84.96
378,82.84
379,59.64
380,46.31
381,45.37
382,99.71
383,94.37
384,76.96
385,35.36
386,58.61
387,34.55
388,61.25
389,89.07
390,54.25
391,51.01
392,72.98
393,36.19
394,71.59
395,78.82
396,84.65
397,104.79
398,90.3
399,46.8
400,78.43
401,60.01
402,47.22
403,114.95
404,101.55
405,75.65
406,65.22
407,70.01
408,65.17
409,64.27
410,102.66
411,141.51
412,48.2
413,47.43
414,89.71
415,87.74
416,33.57
417,82.6
418,60.09
419,91.63
420,57.79
421,30.08
422,98.7
423,59.98
424,61.26
425,121.26
426,64.08
427,56.55
428,46.13
429,37.51
430,84.89
431,67.96000000000001
432,76.88
433,62.79
434,35.85
435,58.55
436,60.54
437,64.5
438,113.39
439,107.64
440,106.33
441,60.36
442,85.75
443,48.83
444,58.42
445,57.019999999999996
446,102.87
447,37.03
448,29.01
449,55.47
450,53.58
451,41.95
452,78.16
453,70.04
454,51.67
455,28.55
456,50.28
457,33.61
458,57.48
459,70.81
460,87.5
461,79.12
462,44.98
463,32.29
464,77.24
465,98.96
466,92.34
467,59.18
468,59.8
469,93.97
470,74.07000000000001
471,87.36
472,53.46
473,86.9
474,122.92
475,60.839999999999996
476,56.11
477,40.26
478,42.19
479,47.29
480,55.01
481,91.71
482,78.94
483,42.49
484,39.87
485,55.31
486,43.26
487,40.56
488,64.36
489,53.03
490,45.53
491,41.769999999999996
492,45.39
493,54.24
494,47.97
495,71.38
496,63.3
497,69.02
498,31.549999999999997
499,83.24
500,76.69
501,62.01
502,87.24
503,43.47
504,73.37
505,61.35
506,37.449999999999996
507,43.92
508,52.13
509,68.21
510,65.09
511,53.32
512,28.21
513,52.79
514,36.92
515,78.81
516,63.76
517,70.52
518,26.83
519,42.83
520,46.96
521,58.02
522,44.35
523,64.85
524,48.36
525,45.37
526,47.58
527,35.13
528,83.46
529,75.49
530,113.57
531,61.519999999999996
532,114.38
533,68.82
534,47.66
535,80.43
536,112.85
537,72.48
538,38.26
539,58.94
540,76.07
541,18.52
542,43.37
543,64.9
544,88.07000000000001
545,68.2
546,46.28
547,72.98
548,36.87
549,44.96
550,58.81
551,77.36
552,55.47
553,45.74
554,67.57
555,63.65
556,55.99
557,60.54
558,47.66
559,52.37
560,89.47
561,60.18
562,49.38
563,53.24
564,57.339999999999996
565,104.66
566,63.56
567,44.25
568,52.17
569,57.25
570,37.57
571,85.59
572,56.25
573,44.12
574,29.96
575,43.87
576,36.94
577,60.85
578,33.01
579,80.95
580,80.45
581,42.18
582,40.87
583,37.99
584,44.91
585,61.09
586,70.66
587,80.09
588,40.839999999999996
589,48.22
590,39.61
591,72.03
592,90.1
593,95.78
594,66.17
595,39.15
596,74.16
597,37.24
598,43.34
599,86.42
600,122.95
601,73.16
602,101.47
603,63.63
604,59.97
605,43.56
606,54.26
607,73.42999999999999
608,66.78999999999999
609,63.31
610,42.63
611,32.84
612,33.81
613,44.15
614,48.519999999999996
615,63.55
616,69.03
