DAY,SALES_VALUE
101,27.29
102,33.46
103,32.97
104,39.49
105,78.49
106,24.99
107,17.25
108,21.43
109,10.36
110,62.61
111,29.32
112,17.75
113,34.62
114,76.58
115,60.65
116,21.27
117,65.06
118,23.720000000000002
119,12.36
120,18.25
121,13.65
122,56.35
123,39.19
124,46.74
125,26.009999999999998
126,10.16
127,29.14
128,23.32
129,38.65
130,25.64
131,45.93
132,42.160000000000004
133,25.24
134,42.99
135,38.68
136,42.08
137,33.19
138,33.61
139,41.72
140,29.16
141,53.89
142,21.880000000000003
143,16.94
144,53.7
145,27.599999999999998
146,36.16
147,60.95
148,38.580000000000005
149,45.08
150,21.15
151,31.29
152,42.43
153,37.26
154,68.15
155,49.29
156,16.66
157,25.25
158,32.7
159,35.42
160,28.9
161,12.35
162,33.6
163,45.33
164,24.43
165,25.05
166,39.77
167,32.4
168,23.130000000000003
169,29.11
170,48.86
171,18.48
172,32.06
173,78.89
174,25.9
175,21.06
176,19.32
177,27.62
178,61.31
179,24.06
180,48.71
181,37.68
182,23.45
183,29.459999999999997
184,42.68
185,32.2
186,48.32
187,50.59
188,34.37
189,26.24
190,19.830000000000002
191,32.32
192,39.0
193,53.87
194,45.04
195,29.0
196,32.55
197,22.95
198,23.990000000000002
199,30.009999999999998
200,43.37
201,47.99
202,42.83
203,40.8
204,30.99
205,39.080000000000005
206,8.18
207,32.42
208,83.27
209,11.85
210,32.29
211,21.92
212,32.49
213,36.92
214,22.72
215,36.06
216,38.47
217,41.24
218,35.11
219,36.09
220,11.76
221,39.16
222,50.22
223,33.86
224,36.43
225,47.84
226,28.29
227,24.65
228,47.8
229,62.83
230,42.980000000000004
231,46.45
232,60.21
233,26.900000000000002
234,31.92
235,17.72
236,46.64
237,21.86
238,47.29
239,14.290000000000001
240,32.79
241,61.14
242,49.83
243,46.52
244,49.410000000000004
245,23.85
246,51.56
247,3.99
248,17.240000000000002
249,67.48
250,29.11
251,44.6
252,40.31
253,38.05
254,28.14
255,43.29
256,58.11
257,54.45
258,30.27
259,19.42
260,58.93
261,55.27
262,23.91
263,55.2
264,50.19
265,32.96
266,92.04
267,48.39
268,48.09
269,54.81
270,68.39
271,64.78
272,48.21
273,48.96
274,51.84
275,48.879999999999995
276,96.55
277,44.2
279,15.93
280,48.260000000000005
281,13.370000000000001
282,42.62
283,42.95
284,41.31
285,44.54
286,55.96
287,68.54
288,47.9
289,23.52
290,49.9
291,42.37
292,90.08
293,57.86
294,18.990000000000002
295,50.980000000000004
296,50.77
297,24.71
298,59.68
299,79.98
300,55.36
301,41.15
302,21.43
303,15.72
304,71.81
305,63.14
306,89.4
307,90.0
308,30.67
309,17.28
310,44.190000000000005
311,34.050000000000004
312,50.93
313,61.81
314,35.1
315,49.79
316,34.15
317,45.38
318,58.46
319,73.84
320,63.010000000000005
321,78.87
322,50.410000000000004
323,60.92
324,49.8
325,80.7
326,72.16
327,98.96000000000001
328,54.26
329,36.06
330,25.78
331,20.55
332,39.92
333,68.86
334,31.150000000000002
335,57.230000000000004
336,43.97
337,23.35
338,18.79
339,27.17
340,31.13
341,35.53
342,20.21
343,37.2
344,17.03
345,46.300000000000004
346,41.18
347,84.0
348,66.36
349,31.39
350,21.21
351,24.0
352,30.01
353,38.1
354,41.41
355,33.36
356,29.04
357,18.07
358,28.6
359,38.58
360,68.33
361,80.45
362,49.07
363,90.2
364,20.17
365,7.74
366,22.740000000000002
367,25.7
368,35.94
369,42.04
370,37.52
371,60.370000000000005
372,39.42
373,31.67
374,30.32
375,39.72
376,69.96000000000001
377,24.93
378,54.13
379,38.25
380,52.9
381,36.79
382,39.6
383,44.33
384,27.63
385,51.69
386,40.65
387,55.35
388,56.879999999999995
389,23.97
390,36.74
391,27.94
392,60.89
393,45.39
394,38.9
395,32.43
396,40.08
397,42.07
398,15.530000000000001
399,42.870000000000005
400,24.61
401,41.08
402,29.98
403,21.03
404,45.09
405,48.93
406,50.06
407,37.09
408,53.79
409,28.09
410,38.28
411,69.48
412,50.27
413,67.61
414,44.51
415,31.96
416,49.730000000000004
417,71.49
418,69.79
419,62.84
420,39.05
421,33.93
422,50.15
423,36.64
424,17.700000000000003
425,42.06
426,35.83
427,20.91
428,37.13
429,15.88
430,43.94
431,41.52
432,25.64
433,40.14
434,24.96
435,28.14
436,41.07
437,44.77
438,32.03
439,48.59
440,43.54
441,26.04
442,43.07
443,20.48
444,57.71
445,11.65
446,60.29
447,48.75
448,71.75
449,40.49
450,31.810000000000002
451,35.24
452,37.93
453,64.19
454,38.52
455,42.21
456,24.94
457,22.76
458,35.93
459,23.9
460,37.08
461,43.93
462,41.58
463,49.75
464,46.74
465,72.74
466,49.36
467,16.33
468,28.28
469,45.15
470,43.54
471,20.33
472,28.5
473,14.25
474,70.61
475,72.03
476,67.76
477,45.480000000000004
478,38.230000000000004
479,15.620000000000001
480,31.86
481,39.31
482,37.34
483,33.17
484,22.22
485,61.2
486,41.93
487,33.28
488,57.39
489,39.35
490,24.15
491,31.53
492,27.130000000000003
493,72.97
494,35.32
495,36.68
496,53.03
497,27.96
498,50.75
499,50.0
500,55.760000000000005
501,47.980000000000004
502,43.75
503,48.84
504,35.93
505,45.36
506,66.64
507,12.43
508,33.44
509,45.14
510,40.93
511,28.19
512,41.6
513,15.54
514,20.53
515,55.09
516,64.72
517,39.6
518,44.04
519,76.98
520,37.34
521,30.71
522,82.53
523,70.12
524,57.16
525,30.54
526,36.89
527,23.62
528,25.85
529,58.89
530,65.12
531,43.370000000000005
532,47.760000000000005
533,24.11
534,32.0
535,42.36
536,40.46
537,70.19
538,30.5
539,37.95
540,40.07
541,41.65
542,28.55
543,44.94
544,61.45
545,48.010000000000005
546,27.54
547,32.32
548,28.89
549,41.53
550,24.81
551,38.08
552,41.1
553,49.77
554,27.34
555,31.270000000000003
556,65.02
557,46.47
558,45.25
559,49.96
560,33.41
561,57.81
562,45.29
563,29.32
564,56.730000000000004
565,42.89
566,48.58
567,56.9
568,44.019999999999996
569,13.34
570,7.380000000000001
571,49.36
572,68.43
573,49.44
574,42.22
575,30.07
576,25.34
577,58.52
578,29.18
579,49.550000000000004
580,53.660000000000004
581,39.92
582,42.71
583,45.51
584,32.24
585,19.93
586,38.51
587,32.62
588,28.36
589,47.04
590,25.76
591,31.99
592,42.68
593,81.72
594,43.13
595,32.57
596,41.94
597,54.75
598,35.38
599,34.84
600,61.5
601,56.26
602,49.87
603,35.86
604,34.47
605,55.019999999999996
606,43.57
607,36.51
608,41.79
609,63.43
610,51.07
611,13.45
612,36.57
613,16.75
614,70.93
615,40.4
616,51.52
617,33.31
618,13.36
619,39.96
620,73.73
621,73.08
622,35.86
623,27.09
624,42.980000000000004
625,40.67
626,48.160000000000004
627,83.17
628,66.01
629,60.27
630,32.13
631,22.630000000000003
632,53.43
633,54.739999999999995
634,82.92
635,48.66
636,62.46
637,61.36
638,44.57
639,72.11
640,72.33
641,69.55
642,39.77
644,36.44
645,30.82
646,78.39
647,38.09
648,42.26
649,32.32
650,40.51
651,58.82
652,67.64
653,65.59
654,45.87
655,61.64
656,94.4
657,30.66
658,45.160000000000004
659,47.07
660,47.47
661,50.57
662,62.89
663,64.98
664,54.980000000000004
665,58.71
666,25.26
667,44.93
668,34.84
669,42.480000000000004
670,48.94
671,55.4
672,27.490000000000002
673,24.21
674,34.88
675,32.38
676,58.38
677,69.53
678,35.33
679,33.49
680,55.82
681,33.730000000000004
682,40.89
683,46.3
684,34.97
685,51.68
686,42.31
687,43.769999999999996
688,19.92
689,19.23
690,74.65
691,125.09
692,68.38
693,30.21
694,48.46
695,49.92
696,31.700000000000003
697,83.45
698,70.24
699,40.87
700,40.16
701,55.25
702,7.46
703,33.370000000000005
704,36.19
705,57.29
706,23.1
707,68.3
708,26.82
