,household_key,age_45_plus,income_50K_plus,single_couple_family,has_kids,single,couple,r_score,f_score,m_score,rfm_score,rfm_bins,alcohol,beverages,concessions,dairy,drug,garden,grain_goods,grocery,home_family,junk_food,kitchen,meat,misc,produce,seasonal,total_sales
27,74,1,0,2,0,0,1,3,4,3,10,3,0.0,19.48,10.440000000000001,168.54,143.82,0.0,185.58,15.75,258.62,342.53000000000003,0.0,259.83,98.47,268.16,4.5,1775.72
28,77,0,1,3,1,0,0,5,3,5,13,4,158.5,308.17,36.42,457.21999999999997,63.43,0.0,517.72,166.35,631.02,590.21,0.0,819.48,431.09000000000003,507.1,2.48,4689.19
29,78,1,0,1,0,1,0,5,5,4,14,4,0.0,343.97,132.22,106.49,104.95,9.97,167.13,117.73,274.56,274.23,0.0,640.69,108.17,191.56,0.0,2471.6700000000005
30,80,1,1,2,0,0,1,4,3,4,11,3,28.65,100.39,31.990000000000002,231.2,29.3,0.0,197.70000000000002,84.09,266.1,191.92,0.5,699.96,185.11,479.39,0.69,2526.9900000000002
31,85,0,0,1,0,1,0,5,5,4,14,4,179.72,300.8,20.54,364.82,155.16,2.99,326.86,170.08,313.16,352.74,6.57,1043.5,206.86,435.86,0.0,3879.6600000000003
32,86,1,0,1,0,1,0,3,2,4,9,3,0.0,288.77,66.49,209.48000000000002,77.99,15.65,335.52,234.94,447.11,646.7,1.59,687.82,332.44,357.87,32.97,3735.3399999999997
33,97,1,1,1,0,1,0,5,4,4,13,4,398.02,160.64000000000001,42.94,537.95,29.910000000000004,0.0,409.5,263.32,102.35,436.52,2.19,1037.48,249.39,360.49,0.0,4030.7
34,98,0,0,2,1,0,0,5,5,3,13,4,8.99,316.92,27.48,95.66,62.96,0.0,144.14,101.23,208.47,381.2,0.0,792.15,120.29,165.54,3.58,2428.61
35,101,1,0,3,1,0,0,5,5,5,15,5,126.35,737.04,9.97,315.49,2.5,0.0,203.27,301.99,197.58,1973.6200000000001,0.0,728.57,139.74,409.62,19.97,5165.71
36,104,0,0,3,1,0,0,5,4,5,14,4,34.47,393.36,25.14,782.15,27.13,0.0,665.3100000000001,261.22,901.5699999999999,910.74,14.36,952.26,672.11,746.74,1.49,6388.049999999998
37,105,0,0,3,1,0,0,5,5,4,14,4,37.34,240.14000000000001,14.43,240.05,21.740000000000002,3.99,362.81,148.1,50.84,438.41,0.0,1610.4,265.55,570.28,0.0,4004.08
