DAY,SALES_VALUE
101,3726.61
102,4495.2300000000005
103,4952.24
104,3745.08
105,3992.05
106,3495.7200000000003
107,3501.82
108,3386.54
109,4109.67
110,5185.57
111,3531.89
112,3032.2
113,4125.65
114,4135.4800000000005
115,3401.2400000000002
116,4319.57
117,4767.78
118,3545.83
119,3170.13
120,3013.73
121,2954.38
122,3644.03
123,4009.78
124,4914.03
125,3238.04
126,2714.94
127,2931.5
128,3303.48
129,2898.06
130,4069.9700000000003
131,4789.59
132,4359.67
133,4279.8
134,4082.81
135,4182.33
136,3752.7400000000002
137,4650.64
138,5050.47
139,4225.77
140,3810.46
141,3899.25
142,3131.55
143,3496.07
144,4049.15
145,5007.12
146,4158.9800000000005
147,3610.59
148,3065.35
149,2658.65
150,4144.28
151,3801.5
152,4668.86
153,2853.5
154,3374.7
155,2516.83
156,2807.81
157,3912.31
158,3991.4900000000002
159,4930.4
160,3675.61
161,2835.9
162,2931.76
163,3746.38
164,4622.2300000000005
165,5591.95
166,5214.43
167,4678.68
168,4134.27
169,4282.62
170,3310.73
171,3512.02
172,4432.21
173,5671.58
174,3114.54
175,2982.42
176,3265.4700000000003
177,3358.02
178,3603.46
179,4292.25
180,5766.35
181,3217.19
182,2922.73
183,3424.19
184,2976.7
185,3565.35
186,4468.09
187,4845.78
188,3091.9900000000002
189,2924.09
190,2879.2200000000003
191,3307.7400000000002
192,3421.17
193,5380.63
194,5270.79
195,4022.9
196,4694.38
197,4065.53
198,3887.26
199,3559.29
200,4446.32
201,5746.42
202,4063.69
203,3285.63
204,2863.08
205,3749.91
206,3291.98
207,4352.87
208,5489.19
209,3213.8
210,3196.87
211,3516.69
212,3123.38
213,3399.75
214,4383.7300000000005
215,4204.04
216,3255.5
217,2723.3
218,2811.08
219,2859.66
220,2709.54
221,4114.9800000000005
222,5955.99
223,3470.71
224,3780.26
225,3823.63
226,3086.38
227,4329.41
228,4930.07
229,5792.8
230,3852.92
231,3377.83
232,3586.86
233,3403.37
234,3539.88
235,4082.59
236,5324.34
237,3450.65
238,3433.4500000000003
239,3135.75
240,2796.79
241,4434.3
242,6049.33
243,5448.0
244,4706.97
245,5066.63
246,6184.95
247,1506.89
248,2136.9900000000002
249,3030.02
250,3547.85
251,3495.98
252,3317.95
253,2600.97
254,4026.18
255,3967.4700000000003
256,6475.85
257,5566.8
258,5425.14
259,3910.13
260,4516.9400000000005
261,4783.37
262,2988.62
263,4192.74
264,4105.13
265,3136.83
266,3794.19
267,3681.76
268,2790.68
269,3302.83
270,4146.51
271,5170.14
272,4040.26
273,3418.09
274,3624.59
275,4412.18
276,7002.2300000000005
277,4653.88
278,5.15
279,3140.87
280,3881.09
281,2833.01
