DAY,SALES_VALUE
101,65.82000000000001
102,102.48
103,116.01
104,98.95
105,52.55
106,61.7
107,61.72
108,27.740000000000002
109,71.67999999999999
110,104.53
111,40.95
112,57.64
113,67.52
114,80.33
115,103.87
116,41.75
117,84.35
118,103.66
119,44.84
120,73.39
121,72.66
122,65.49
123,61.17
124,72.56
125,49.6
126,51.55
127,59.08
128,41.25
129,26.5
130,67.92
131,93.65
132,87.1
133,96.13000000000001
134,76.27
135,66.18
136,49.07
137,103.41
138,98.9
139,95.65
140,65.96000000000001
141,66.23
142,44.54
143,60.19
144,73.91
145,90.77
146,112.51
147,100.92
148,66.94
149,58.089999999999996
150,93.79
151,88.63
152,81.61
153,66.7
154,38.25
155,72.32000000000001
156,74.53
157,94.16
158,88.03
159,100.12
160,96.61
161,38.61
162,54.97
163,46.370000000000005
164,55.75
165,86.55
166,85.74
167,56.01
168,63.800000000000004
169,106.63
170,48.81
171,55.68
172,33.89
173,76.95
174,53.38
175,48.14
176,44.78
177,49.99
178,63.17
179,80.69
180,85.4
181,68.34
182,45.65
183,68.73
184,48.49
185,97.28
186,59.77
187,89.86
188,65.14
189,62.49
190,60.7
191,65.43
192,110.75999999999999
193,80.84
194,123.6
195,71.08
196,82.16
197,73.84
198,64.13
199,56.06
200,79.02
201,75.71
202,60.449999999999996
203,56.58
204,34.85
205,53.14
206,34.86
207,63.08
208,106.72
209,57.68
210,38.24
211,49.51
212,38.12
213,66.33
214,88.53
215,70.56
216,73.74
217,34.01
218,48.78
219,46.38
220,71.44
221,37.38
222,70.55
223,121.95
224,56.31
225,52.8
226,81.73
227,36.91
228,96.33
229,84.57
230,39.32
231,48.7
232,87.71
233,47.33
234,26.95
235,67.67999999999999
236,83.41
237,74.13
238,53.67
239,54.42
240,34.6
241,70.25
242,77.72
243,112.02
244,88.0
245,113.35
246,95.1
247,18.02
248,28.34
249,100.33
250,81.66
251,47.42
252,44.84
253,31.16
254,59.82
255,59.7
256,93.7
257,130.07
258,142.01
259,78.78
260,54.230000000000004
261,84.01
262,63.95
263,66.0
264,45.45
265,27.93
266,72.91
267,45.92
268,38.65
269,49.4
270,66.66
271,94.68
272,59.72
273,42.4
274,91.2
275,107.59
276,150.74
277,45.28
279,66.96
280,40.53
281,51.27
282,39.84
283,59.01
284,54.63
285,60.96
286,70.91
287,60.51
288,61.85
289,67.12
290,40.32
291,68.08
292,116.78
293,93.61
294,39.44
295,43.86
296,96.7
297,71.38
298,121.12
299,102.73
300,126.81
301,46.29
302,40.48
303,34.78
304,70.43
305,60.97
306,110.37
307,75.49
308,138.52
309,41.17
310,44.69
311,55.77
312,105.32000000000001
313,109.81
314,65.53
315,50.79
316,59.05
317,74.01
318,69.66
319,117.92
320,87.23
321,140.95
322,61.22
323,72.71
324,84.93
325,82.81
326,90.66
327,171.79
328,65.25
329,53.45
330,62.76
331,52.31
332,66.97
333,121.35
334,82.28
335,80.44
336,56.76
337,72.21
338,23.78
339,52.82
340,96.88
341,84.76
342,71.1
343,90.08
344,62.69
345,122.48
346,67.85000000000001
347,101.35
348,137.68
349,75.36
350,42.14
351,61.05
352,29.439999999999998
353,26.5
354,80.61
355,102.5
356,76.71
357,33.0
358,50.69
359,67.69
360,64.92
361,61.5
362,66.78999999999999
363,123.22
364,54.96
365,50.72
366,65.54
367,79.02
368,142.36
369,134.32
370,85.83
371,94.8
372,94.96000000000001
373,43.59
374,36.22
375,98.36
376,60.6
377,78.34
378,106.91
379,63.03
380,68.71000000000001
381,40.09
382,75.66
383,91.33
384,72.27
385,29.79
386,63.03
387,38.61
388,76.46
389,111.16
390,58.29
391,42.09
392,63.02
