DAY,SALES_VALUE
101,118.32
102,84.87
103,97.61
104,62.67
105,69.2
106,57.73
107,70.99
108,56.24
109,78.53
110,110.36
111,71.1
112,62.67
113,85.19
114,72.66
115,70.39
116,97.47
117,100.92
118,118.23
119,50.24
120,37.04
121,77.01
122,57.55
123,109.04
124,101.6
125,75.83
126,45.83
127,61.17
128,73.72
129,58.31
130,66.16
131,66.62
132,73.74
133,68.28999999999999
134,61.2
135,43.44
136,46.47
137,92.55
138,76.04
139,147.06
140,107.46000000000001
141,54.64
142,55.339999999999996
143,64.97
144,77.96000000000001
145,102.33
146,87.96
147,49.57
148,79.61
149,37.7
150,60.199999999999996
151,56.11
152,87.19
153,36.92
154,67.22
155,50.11
156,68.26
157,87.52
158,71.46
159,118.4
160,111.7
161,100.94
162,107.03
163,111.94
164,127.5
165,132.28
166,132.73
167,145.12
168,82.58
169,75.87
170,67.89
171,55.74
172,54.88
173,92.28
174,48.66
175,68.41
176,68.13
177,44.73
178,61.62
179,82.42
180,92.85
181,61.66
182,54.88
183,77.49
184,64.26
185,87.21
186,73.33
187,124.89
188,96.16
189,59.3
190,69.28999999999999
191,101.27
192,80.17
193,137.38
194,183.91
195,99.50999999999999
196,106.59
197,89.35
198,89.83
199,88.53999999999999
200,103.96
201,98.57
202,109.55
203,65.24
204,56.55
205,120.28
206,56.59
207,130.51
208,158.66
209,119.84
210,42.94
211,84.98
212,69.74
213,89.76
214,132.99
215,113.75
216,93.29
217,79.53
218,58.85
219,45.36
220,70.58
221,81.44
222,171.45
223,87.72
224,93.95
225,122.7
226,76.81
227,85.5
228,144.63
229,111.71000000000001
230,77.5
231,74.64
232,96.17999999999999
233,57.83
234,91.26
235,103.28
236,127.82
237,88.76
238,64.29
239,84.27
240,76.19
241,107.35
242,151.05
243,125.59
244,122.48
245,119.85
246,174.92
247,28.1
248,29.259999999999998
249,63.980000000000004
250,81.65
251,98.06
252,86.2
253,70.14
254,111.39
255,75.16
256,153.01
257,156.25
258,96.15
259,83.52
260,91.69
261,47.32
262,64.88
263,83.72
264,101.03
265,70.35
266,79.01
267,108.64
268,59.3
269,59.09
270,53.06
271,97.4
272,41.31
273,86.18
274,57.07
275,78.22
276,155.82
277,81.27
279,84.32000000000001
280,146.14
281,52.91
282,77.45
283,92.54
284,122.99
285,110.2
286,172.06
287,121.28
288,96.42
289,54.74
290,66.89
291,80.68
292,160.46
293,94.67
294,63.18
295,87.89
296,57.89
297,84.43
298,140.45
299,104.05
300,119.21000000000001
301,45.660000000000004
302,24.23
303,59.2
304,79.63
305,91.69
306,148.08
307,173.34
308,87.61
309,94.0
310,85.21000000000001
311,87.91
312,140.3
313,148.05
314,107.12
315,107.74
316,72.3
317,103.91
318,113.85
319,173.1
320,108.28
321,56.370000000000005
322,56.71
323,57.8
324,72.44
325,99.12
326,104.67
327,181.97
328,152.78
329,103.42999999999999
330,86.48
331,72.74
332,105.33
333,108.0
334,136.89
335,95.96
336,77.21000000000001
337,89.02
338,41.02
339,91.72
340,121.84
341,164.92000000000002
342,58.099999999999994
343,85.14
344,105.44
345,113.14
346,61.87
347,156.22
348,120.54
349,155.38
350,115.38
351,159.81
352,110.15
353,117.07
354,143.47
355,168.77
356,123.88
357,70.34
358,88.53
359,77.3
360,109.36
361,98.85
362,164.71
363,133.48
364,56.11
365,64.73
366,87.73
367,104.51
368,120.3
369,106.34
370,117.35
371,106.39
372,86.54
373,66.27
374,95.21000000000001
375,92.47
376,193.05
377,137.84
378,61.870000000000005
379,63.03
380,75.32000000000001
381,61.78
382,121.84
383,151.33
384,134.86
385,64.91
386,69.28
387,99.07
388,148.8
389,155.72
390,99.52
391,88.97
392,99.51
393,55.230000000000004
394,52.41
395,39.11
396,72.21000000000001
397,136.87
398,75.87
399,98.46000000000001
400,60.5
401,48.18
402,39.94
403,111.95
404,113.48
405,131.74
406,111.78999999999999
407,99.55
408,130.6
409,87.37
410,105.41
411,189.38
412,118.38
413,87.4
414,69.73
415,82.86
416,82.55
417,68.61
418,110.24
419,108.38
420,63.32
421,53.19
422,72.88
423,66.78
424,96.38
425,113.2
426,145.77
427,62.51
428,66.84
429,79.26
430,112.43
431,130.28
432,90.74
433,144.97
434,78.38
435,64.12
436,80.38
437,78.64
438,116.83
439,145.65
440,69.2
441,68.66
442,91.5
443,76.05
444,59.76
445,78.51
446,160.24
447,73.82
448,81.0
449,78.88
450,124.69
451,74.4
452,85.99
453,81.08
454,45.980000000000004
455,67.84
456,50.230000000000004
457,24.82
458,59.94
459,68.78
460,71.05
461,98.4
462,79.42
463,63.13
464,74.09
465,66.8
466,113.29
467,122.79
468,54.8
469,76.52
470,56.46
471,68.5
472,69.18
473,52.1
474,147.76
475,107.55
476,55.87
477,75.15
478,46.61
479,73.29
480,60.14
481,97.62
482,91.94
483,49.74
484,43.08
485,67.52
486,52.980000000000004
487,90.88
488,123.98
489,90.56
490,48.589999999999996
491,43.37
492,57.04
493,99.34
494,77.65
495,103.1
496,117.26
497,91.99
498,53.120000000000005
499,89.86
500,102.31
501,82.0
502,165.62
503,70.59
504,76.76
505,66.95
506,68.83
507,45.19
508,89.34
509,99.75
510,52.65
511,57.21
512,60.19
