DAY,SALES_VALUE
101,638.02
102,549.32
103,704.82
104,488.41
105,614.05
106,528.38
107,604.72
108,546.1
109,591.07
110,801.75
111,476.5
112,452.43
113,644.02
114,671.04
115,490.89
116,573.53
117,652.26
118,500.52
119,440.9
120,473.06
121,548.52
122,539.9300000000001
123,543.87
124,737.39
125,506.48
126,429.65
127,379.96
128,498.41
129,351.95
130,576.29
131,591.97
132,659.51
133,578.03
134,559.85
135,593.6
136,494.69
137,568.02
138,694.92
139,501.81
140,637.69
141,581.44
142,441.23
143,528.99
144,541.5600000000001
145,641.42
146,615.39
147,518.51
148,509.19
149,464.58
150,592.78
151,457.55
152,771.86
153,478.86
154,550.42
155,436.5
156,498.57
157,605.9
158,598.67
159,779.92
160,543.07
161,443.15
162,580.29
163,708.2
164,607.05
165,758.26
166,713.44
167,698.87
168,617.53
169,724.43
170,572.77
171,597.37
172,645.44
173,777.08
174,528.4
175,444.98
176,572.25
177,546.51
178,618.5600000000001
179,651.51
180,899.4300000000001
181,538.29
182,538.63
183,513.56
184,571.64
185,567.82
186,802.49
187,871.28
188,453.13
189,462.3
190,393.21
191,506.16
192,493.79
193,812.19
194,818.72
195,576.99
196,614.74
197,556.38
198,589.17
199,518.89
200,576.35
201,914.73
202,744.22
203,505.47
204,398.37
205,477.94
206,410.51
207,598.94
208,879.5600000000001
209,625.14
210,585.03
211,558.53
212,618.72
213,496.31
214,729.32
215,724.18
216,638.53
217,462.83
218,475.32
219,466.99
220,368.02
221,599.55
222,1018.85
223,575.29
224,565.04
225,636.91
226,479.7
227,636.8
228,858.83
229,998.66
230,593.88
231,538.39
232,669.01
233,570.44
234,590.9
235,707.78
236,1051.69
237,618.51
238,515.69
239,496.14
240,533.84
241,723.86
242,1052.14
243,961.48
244,827.35
245,973.41
246,1305.03
247,343.85
248,464.39
249,526.9
250,556.59
251,512.26
252,564.62
253,537.83
254,709.32
255,644.92
256,1141.57
257,1050.42
258,1021.49
259,653.98
260,789.05
261,987.83
262,647.8100000000001
263,838.1
264,747.97
265,591.52
266,700.34
267,633.94
268,548.94
269,556.98
270,679.27
271,879.25
272,625.13
273,667.08
274,596.3
275,865.73
276,1306.8700000000001
277,961.7
279,653.94
280,645.61
281,383.26
282,603.3
283,908.43
284,1046.46
285,607.9
286,737.94
287,684.52
288,684.49
289,715.4300000000001
290,613.91
291,869.34
292,1031.35
293,691.5
294,462.1
295,641.95
296,680.52
297,538.85
298,779.23
299,678.58
300,743.07
301,476.78
302,572.5600000000001
303,432.9
304,615.57
305,691.62
306,855.3100000000001
307,803.47
308,491.01
309,568.92
310,482.9
311,444.9
312,761.28
313,818.89
314,679.8100000000001
315,601.03
316,520.92
317,663.24
318,816.1
319,973.54
320,989.12
321,583.99
322,590.38
323,524.18
324,579.98
325,806.41
326,735.22
327,1045.73
328,585.72
329,432.76
330,557.68
331,501.33
332,598.13
333,746.15
334,763.12
335,650.74
336,616.0600000000001
337,557.27
338,413.29
339,504.45
340,995.76
341,825.85
342,689.24
343,496.64
344,707.79
345,689.23
346,645.77
347,842.82
348,983.94
349,699.44
350,628.34
351,614.06
352,510.77
353,722.71
354,754.2
355,1036.55
356,525.17
357,543.26
358,548.57
359,473.26
360,657.3100000000001
361,810.52
362,905.0600000000001
363,711.47
364,351.66
365,333.59000000000003
366,351.85
367,656.77
368,691.83
369,869.75
370,558.43
371,586.63
372,576.28
373,420.14
374,578.63
375,685.92
376,765.36
377,737.3
378,561.23
379,446.63
380,506.16
381,495.68
382,712.13
383,790.79
384,554.05
385,411.51
386,429.22
387,542.8
388,663.2
389,737.0
390,502.83
391,522.6
392,569.09
393,554.53
394,515.3
395,624.97
396,593.53
397,859.61
398,500.16
399,627.16
400,494.02
401,469.6
402,442.82
403,685.88
404,709.0600000000001
405,854.95
406,610.82
407,589.26
408,693.5600000000001
409,693.21
410,832.22
411,1013.91
412,528.4
413,614.71
414,644.6
415,466.28000000000003
416,491.98
417,642.2
418,749.48
419,627.46
420,479.25
421,583.2
422,607.1
423,450.86
424,476.74
425,615.95
426,612.2
427,514.82
428,494.65
429,422.26
430,554.66
431,613.85
432,730.64
433,581.39
434,480.75
435,360.69
436,673.4
437,854.7
438,614.7
439,840.6
440,760.49
441,572.42
442,636.86
443,611.78
444,550.54
445,781.22
446,890.67
447,552.48
448,512.74
449,499.59000000000003
450,563.46
451,552.59
452,576.46
453,746.84
454,482.7
455,412.2
456,378.76
457,373.99
458,504.95
459,587.26
460,496.31
461,550.62
462,470.07
463,481.01
464,516.17
465,529.4
466,732.55
467,551.33
468,604.3
469,754.97
470,620.48
471,566.84
472,525.72
473,533.54
474,859.57
475,794.35
476,435.1
477,521.71
478,476.03000000000003
479,538.91
480,504.82
481,709.09
482,587.24
483,493.12
484,448.4
485,530.89
486,644.41
487,710.98
488,825.77
489,519.31
490,544.8
491,414.53000000000003
492,534.94
493,568.85
494,681.85
495,782.99
496,528.23
497,625.76
498,561.63
499,836.39
500,578.67
501,788.27
502,911.14
503,781.08
504,552.61
505,608.59
506,602.62
507,596.15
508,694.98
509,684.04
510,613.39
511,486.94
