DAY,SALES_VALUE
101,142.29
102,120.44
103,149.13
104,80.63
105,115.47
106,76.37
107,141.46
108,87.15
109,120.68
110,129.75
111,131.42
112,90.28
113,120.32
114,154.38
115,104.37
116,140.43
117,178.38
118,111.9
119,142.69
120,121.46
121,80.26
122,110.09
123,139.66
124,181.45
125,88.43
126,73.24
127,73.01
128,104.87
129,91.13
130,158.13
131,152.48
132,162.33
133,137.42000000000002
134,165.27
135,135.11
136,161.03
137,143.28
138,164.37
139,102.76
140,123.26
141,131.2
142,116.12
143,78.85
144,152.70000000000002
145,121.68
146,187.96
147,95.82
148,134.17
149,130.71
150,100.21
151,176.42000000000002
152,193.75
153,64.17
154,121.48
155,101.62
156,106.77
157,124.13
158,105.85
159,149.70000000000002
160,170.57
161,224.49
162,221.52
163,178.93
164,176.92
165,267.99
166,180.14000000000001
167,232.37
168,133.65
169,127.66
170,114.96000000000001
171,80.28
172,90.79
173,185.5
174,130.21
175,87.81
176,136.88
177,124.2
178,156.59
179,117.31
180,166.37
181,137.96
182,116.72
183,104.45
184,126.51
185,72.33
186,130.07
187,162.23
188,123.65
189,124.78
190,91.97
191,153.24
192,127.32000000000001
193,218.34
194,172.19
195,119.91
196,120.7
197,92.74000000000001
198,118.34
199,95.93
200,103.11
201,175.27
202,93.62
203,137.07
204,120.7
205,109.52
206,86.61
207,124.29
208,206.08
209,76.94
210,89.25
211,133.45
212,96.84
213,112.7
214,195.32
215,133.93
216,90.60000000000001
217,86.37
218,69.72
219,57.6
220,75.14
221,133.11
222,174.43
223,121.47
224,130.92
225,148.65
226,111.67999999999999
227,142.43
228,180.22
229,171.03
230,159.28
231,119.49000000000001
232,100.27
233,143.54
234,94.65
235,136.05
236,217.58
237,152.32
238,67.49
239,63.13
240,119.95
241,136.39000000000001
242,176.49
243,218.92000000000002
244,155.47
245,146.72
246,192.92000000000002
247,62.16
248,93.39
249,103.81
250,135.67
251,150.36
252,165.22
253,152.95
254,139.3
255,109.61
256,204.75
257,192.89000000000001
258,191.95
259,163.5
260,110.44
261,201.46
262,98.81
263,150.2
264,175.82
265,100.01
266,164.18
267,114.07000000000001
268,135.64000000000001
269,109.34
270,86.88
271,178.27
272,161.64
273,161.86
274,143.98
275,155.58
276,181.33
277,129.65
278,1.98
279,117.73
280,163.84
281,113.86
282,121.97
283,121.31
284,181.76
285,142.35
286,225.94
287,187.28
288,161.3
289,198.31
290,92.73
291,206.68
292,238.05
293,214.38
294,130.62
295,109.12
296,174.99
297,134.83
298,248.32
299,206.79
300,233.67000000000002
301,150.41
302,105.19
303,95.71000000000001
304,112.09
305,159.88
306,283.79
307,232.0
308,194.54
309,160.9
310,170.64000000000001
311,94.89
312,224.52
313,226.07
314,208.05
315,126.24
316,173.99
317,192.95
318,219.55
319,233.37
320,194.02
321,159.24
322,100.76
323,82.59
324,192.35
325,228.53
326,112.34
327,213.12
328,172.96
329,89.26
330,109.14
331,191.27
332,93.48
333,127.84
334,126.69
335,195.79
336,240.33
337,131.28
338,97.06
339,152.12
340,208.79999999999998
341,247.93
342,146.47
343,149.43
344,162.31
345,181.16
346,117.5
347,229.13
348,201.07
349,119.39
350,101.49
351,133.06
352,140.16
353,141.54
354,150.89
355,289.6
356,169.29
357,142.33
358,127.3
359,149.89000000000001
360,186.87
361,175.13
362,316.73
363,183.21
364,92.62
365,147.17
366,85.05
367,147.23
368,164.66
369,152.34
370,244.5
371,210.35
372,148.31
373,132.83
374,167.9
375,257.69
376,217.59
377,186.49
378,215.8
379,132.84
380,81.23
381,146.44
382,168.26
383,185.23
384,210.75
385,140.58
386,144.51
387,164.04
388,222.04
389,169.14
390,170.05
391,139.16
392,158.82
393,111.0
394,125.75
395,109.55
396,182.29
397,240.83
398,128.3
399,154.24
400,94.71000000000001
401,109.17
402,103.23
403,133.89000000000001
404,189.11
405,172.16
406,150.91
407,140.02
408,195.18
409,110.15
410,127.21
411,174.73000000000002
412,94.25
413,121.48
414,124.22
415,98.66
416,136.41
417,111.74
418,192.11
419,149.56
420,107.78
421,120.35000000000001
422,109.61
423,122.22
424,178.82
425,191.64
426,277.6
427,166.52
428,182.38
429,146.76
430,240.82
431,254.02
432,281.67
433,177.49
434,75.21000000000001
435,127.08
436,117.52000000000001
437,116.84
438,181.32
439,276.06
440,224.12
441,173.76
442,187.46
443,134.76
444,162.8
445,209.42000000000002
446,166.56
447,164.47
448,134.15
449,147.05
450,159.72
451,158.65
452,143.16
453,199.37
454,95.87
455,105.86
456,107.54
457,93.84
458,159.8
459,158.20000000000002
460,108.91
461,117.15
462,146.99
463,90.99000000000001
464,227.03
465,125.11
466,129.6
467,99.81
468,138.69
469,175.16
470,145.29
471,150.56
472,105.65
473,96.69
474,167.16
475,212.72
476,110.04
477,165.1
478,125.14
479,194.43
480,166.84
481,261.68
482,124.58
483,101.13
484,85.43
485,137.74
486,125.01
487,146.19
488,217.58
489,95.52
490,46.230000000000004
491,77.24
492,118.11
493,108.29
494,149.12
495,182.05
496,113.34
497,163.13
498,119.69
499,113.16
500,98.14
501,188.42000000000002
502,184.59
503,127.43
504,148.9
505,139.84
506,155.71
507,107.36
508,126.6
509,147.05
510,156.19
511,79.73
512,96.66
513,123.88
514,139.86
515,198.45
516,111.94
517,131.41
518,115.23
519,124.11
520,103.12
521,81.36
522,95.27
523,159.87
524,150.26
525,104.32000000000001
526,103.26
527,114.84
528,141.51
529,206.57
530,95.35
531,124.71000000000001
532,160.67000000000002
533,94.4
534,123.52
535,117.08
536,168.41
537,208.05
538,122.51
539,111.89
540,122.61
541,136.94
542,86.32000000000001
543,193.09
544,159.22
545,147.83
546,78.12
547,144.32
548,87.36
549,141.22
550,146.01
551,145.64000000000001
552,132.14
553,105.94
554,110.78
555,96.82
556,121.82
557,137.19
558,182.25
559,137.86
560,125.96000000000001
561,162.0
562,102.37
563,157.11
564,154.75
565,215.09
566,232.3
567,161.66
568,124.41
569,140.14
570,139.6
571,117.5
572,199.24
573,125.33
574,141.79
575,140.18
576,102.32000000000001
577,136.8
578,153.62
579,263.2
580,177.26
581,142.0
582,140.86
583,113.52
584,75.3
585,137.42000000000002
586,153.87
587,174.38
588,113.61
589,116.88
590,158.05
591,142.74
592,193.69
593,231.39
594,151.11
595,123.24000000000001
596,191.25
597,147.03
598,126.05
599,165.43
600,186.85
601,146.27
602,151.03
603,110.09
604,119.09
605,76.5
606,138.04
607,182.75
608,220.73
609,175.39000000000001
610,216.78
611,48.269999999999996
612,100.05
613,190.28
614,218.61
615,169.05
616,150.38
617,123.95
618,108.93
619,152.3
620,191.1
621,268.17
622,145.98
623,188.61
624,98.69
625,120.56
626,126.48
627,149.84
628,193.46
629,139.13
630,151.63
631,109.25
632,136.35
633,124.23
634,84.22
635,223.52
636,118.1
637,117.06
638,152.54
639,107.77
640,121.54
641,198.7
642,100.39
644,155.02
645,180.43
