DAY,SALES_VALUE
101,150.86
102,109.33
103,148.04
104,134.84
105,161.55
106,109.44
107,89.85
108,97.66
109,115.17
110,134.44
111,131.68
112,118.88
113,140.59
114,150.08
115,117.04
116,141.27
117,154.55
118,138.98
119,91.78
120,107.22
121,111.78
122,134.03
123,169.6
124,175.73
125,165.08
126,94.37
127,88.66
128,126.43
129,89.27
130,147.7
131,174.17000000000002
132,189.38
133,156.39000000000001
134,211.39000000000001
135,139.14000000000001
136,135.63
137,173.72
138,159.93
139,105.71000000000001
140,259.22
141,195.94
142,110.88
143,141.03
144,240.22
145,200.92000000000002
146,169.04
147,149.91
148,125.35
149,117.37
150,127.42
151,103.87
152,198.58
153,146.02
154,166.99
155,119.49000000000001
156,110.43
157,139.31
158,122.16
159,220.72
160,173.63
161,156.17
162,191.54
163,139.07
164,191.58
165,175.25
166,175.95
167,219.22
168,153.0
169,156.9
170,158.79
171,130.27
172,104.59
173,181.3
174,143.7
175,114.59
176,180.45
177,135.72
178,200.65
179,152.46
180,186.06
181,137.69
182,99.01
183,124.09
184,125.81
185,146.22
186,168.97
187,188.56
188,97.92
189,102.78999999999999
190,120.57
191,161.83
192,87.68
193,233.48
194,214.87
195,211.76
196,131.34
197,115.03999999999999
198,160.56
199,165.65
200,128.98
201,304.25
202,134.06
203,116.71000000000001
204,91.15
205,126.7
206,101.03
207,158.55
208,311.72
209,176.39
210,114.7
211,133.51
212,149.28
213,125.4
214,157.9
215,166.4
216,87.45
217,102.16
218,93.05
219,140.42000000000002
220,61.56
221,139.85
222,167.11
223,167.46
224,128.87
225,180.21
226,140.63
227,134.57
228,156.67000000000002
229,219.76
230,194.11
231,138.23
232,160.83
233,116.17
234,133.54
235,134.2
236,240.86
237,160.77
238,209.83
239,122.02
240,136.58
241,189.07
242,233.15
243,224.70000000000002
244,187.63
245,197.31
246,257.91
247,59.31
248,108.29
249,108.45
250,175.76
251,169.25
252,162.76
253,111.82
254,180.03
255,192.94
256,263.63
257,234.74
258,225.26
259,170.27
260,199.93
261,176.91
262,138.15
263,173.87
264,223.28
265,103.54
266,189.63
267,152.55
268,141.97
269,146.54
270,135.2
271,199.16
272,165.36
273,160.54
274,107.16
275,193.57
276,282.85
277,194.42
278,7.57
279,152.15
280,182.73
281,114.84
282,142.14000000000001
283,127.59
284,204.1
285,125.78
286,247.74
287,166.61
288,176.98
289,160.35
290,161.26
291,190.47
292,207.45000000000002
293,205.39
294,157.25
295,167.28
296,170.76
297,160.74
298,239.97
299,182.14000000000001
300,180.77
301,132.83
302,93.74
303,148.12
304,152.51
305,195.81
306,244.38
307,173.85
308,153.62
309,114.35000000000001
310,119.06
311,105.8
312,262.3
313,195.9
314,171.16
315,124.7
316,139.85
317,144.43
318,135.18
319,294.92
320,201.01
321,133.54
322,140.4
323,91.12
324,168.63
325,179.61
326,186.48
327,288.99
328,203.35
329,146.17
330,117.15
331,215.31
332,115.3
333,163.81
334,167.23
335,189.31
336,197.51
337,130.59
338,118.83
339,153.85
340,277.09
341,209.75
342,151.31
343,168.35
344,161.0
345,187.63
346,130.75
347,206.74
348,194.47
349,243.34
350,183.38
351,198.63
352,179.26
353,197.19
354,240.94
355,344.58
356,174.18
357,170.72
358,130.58
359,95.92
360,193.28
361,180.95000000000002
362,251.86
363,178.59
364,104.45
365,118.71000000000001
366,112.94
367,168.31
368,180.28
369,195.70000000000002
370,217.74
371,158.81
372,176.86
373,188.25
374,175.94
375,250.13
376,276.34000000000003
377,180.01
378,148.78
379,113.46000000000001
380,103.12
381,119.01
382,143.64000000000001
383,206.25
384,191.5
385,190.39
386,148.46
387,180.23
388,281.12
389,259.14
390,174.67000000000002
391,148.91
392,231.64000000000001
393,179.62
394,158.08
395,194.83
396,236.81
397,316.15
398,176.88
399,184.59
400,105.89
401,119.11
402,94.23
403,182.77
404,275.97
405,309.07
406,205.52
407,175.89
408,271.04
409,135.67
410,196.22
411,240.91
412,129.31
413,175.19
414,139.43
415,163.54
416,114.69
417,144.98
418,190.36
419,205.06
420,89.10000000000001
421,126.37
422,210.42000000000002
423,146.13
424,163.07
425,200.09
426,181.09
427,131.89000000000001
428,157.2
429,123.04
430,145.54
431,186.62
432,143.68
433,188.89000000000001
434,201.63
435,159.2
436,242.09
437,168.56
438,224.02
439,294.36
440,240.79
441,248.65
442,188.74
443,185.88
444,144.52
445,212.71
446,298.97
447,149.34
448,205.44
449,96.62
450,218.12
451,124.64
452,187.25
453,225.7
454,121.05
455,144.09
456,137.28
457,103.26
458,178.43
459,157.97
460,183.68
461,215.32
462,165.95
463,125.7
464,208.12
465,160.99
466,198.74
467,155.65
468,166.76
469,254.64000000000001
470,156.39
471,219.22
472,139.27
473,166.3
474,264.81
475,205.70000000000002
476,108.69
477,232.31
478,118.59
479,142.6
480,143.77
481,251.71
482,223.9
