DAY,SALES_VALUE
101,144.83
102,76.61
103,100.38
104,60.64
105,145.35
106,78.03
107,100.61
108,84.4
109,107.52000000000001
110,115.83
111,117.46000000000001
112,83.29
113,128.74
114,139.31
115,113.87
116,159.32
117,166.53
118,130.47
119,150.23
120,141.89
121,99.58
122,100.91
123,108.17
124,230.58
125,146.26
126,93.46
127,66.6
128,103.06
129,71.05
130,150.89
131,145.56
132,133.59
133,148.61
134,112.69
135,129.37
136,133.76
137,88.3
138,144.49
139,49.23
140,105.08
141,88.97
142,101.54
143,74.66
144,149.08
145,89.69
146,193.08
147,97.83
148,141.37
149,125.36
150,97.62
151,198.02
152,190.31
153,81.82
154,155.37
155,74.15
156,119.16
157,124.38
158,112.12
159,137.9
160,182.37
161,217.55
162,259.04
163,168.77
164,197.4
165,274.8
166,195.59
167,259.79
168,139.13
169,120.22
170,102.93
171,98.41
172,119.39
173,190.55
174,105.42999999999999
175,92.27
176,106.85
177,115.89
178,107.95
179,109.17
180,152.87
181,140.89
182,107.82
183,109.83
184,102.03999999999999
185,98.4
186,117.24
187,147.63
188,165.74
189,130.66
190,117.53
191,128.69
192,129.2
193,175.19
194,181.9
195,95.6
196,97.94
197,95.61
198,150.92
199,115.14
200,74.1
201,188.56
202,97.92
203,106.32
204,114.04
205,72.7
206,67.31
207,119.54
208,191.6
209,84.11
210,74.33
211,135.69
212,93.77
213,81.17
214,161.15
215,129.41
216,84.89
217,111.85
218,62.27
219,70.43
220,64.22
221,91.07000000000001
222,141.98
223,81.08
224,171.91
225,162.46
226,84.73
227,127.9
228,223.48000000000002
229,198.36
230,135.53
231,97.62
232,120.14
233,107.05
234,141.39
235,131.87
236,229.13
237,170.69
238,115.98
239,86.28
240,76.5
241,115.15
242,157.95
243,164.12
244,145.27
245,119.64
246,201.72
247,63.36
248,89.24
249,76.78
250,121.79
251,138.16
252,142.25
253,111.58
254,110.7
255,96.37
256,198.57
257,186.47
258,135.5
259,165.45
260,105.9
261,170.25
262,112.01
263,140.76
264,137.12
265,66.13
266,163.46
267,111.82
268,108.27
269,104.97
270,57.01
271,120.44
272,134.43
273,163.71
274,129.71
275,115.55
276,180.79
277,115.31
278,1.98
279,117.4
280,102.07000000000001
281,90.15
282,99.4
283,123.0
284,136.6
285,91.73
286,242.01
287,192.3
288,114.69
289,188.84
290,147.10999999999999
291,188.13
292,214.05
293,191.39
294,154.24
295,91.84
296,171.86
297,85.44
298,181.31
299,233.4
300,198.95
301,185.97
302,131.57
303,137.44
304,112.34
305,193.12
306,244.61
307,279.86
308,225.63
309,133.5
310,144.53
311,77.62
312,220.76
313,247.52
314,211.82
315,149.33
316,138.31
317,225.15
318,194.24
319,265.5
320,162.13
321,159.55
322,174.66
323,107.78
324,144.68
325,180.76
326,107.04
327,280.09
328,190.14
329,77.25
330,129.48
331,149.02
332,81.16
333,156.58
334,106.09
335,194.12
336,273.18
337,186.56
338,103.62
339,121.7
340,232.04
341,305.41
342,150.54
343,169.89000000000001
344,166.87
345,143.86
346,153.79
347,202.57
348,167.59
349,161.51
350,102.15
351,128.95
352,137.78
353,145.72
354,180.07
355,252.41
356,192.4
357,181.02
358,128.5
359,120.75
360,205.63
361,228.54
362,356.01
363,135.77
364,100.52
