,total,before,during,after,first,last
1,93.4459247135843,88.83955284552844,109.08210526315789,94.51613981762917,346.0,383.0
2,78.00744680851064,78.51804780876493,82.23818181818181,76.7193313069909,351.0,383.0
3,70.83905073649755,70.327734375,77.51912280701755,69.5339,356.0,412.0
4,57.659459901800325,58.94463235294117,56.31272727272727,56.29438311688311,372.0,404.0
5,48.3054991816694,55.889927797833934,52.226,40.54897009966778,377.0,411.0
6,3.272602291325695,1.0953583617747438,4.718787878787878,5.3062717770034835,393.0,425.0
7,23.31603927986907,21.576308724832217,21.755428571428574,25.196142857142856,398.0,432.0
8,4094.7913911620294,4027.0164423076926,4261.931020408163,4113.7055158730145,412.0,460.0
9,175.36314238952536,163.66005970149251,183.9948484848485,188.77114285714285,435.0,467.0
10,62.12584288052373,67.20600550964187,53.84939393939395,54.31373271889401,463.0,495.0
11,41.995335515548284,40.34193633952255,42.321063829787235,44.767989417989426,477.0,523.0
12,179.72256955810147,179.7841909814324,175.92333333333332,178.45507389162563,477.0,509.0
13,5957.363911620295,5886.589034653464,5852.571041666667,6092.198571428573,504.0,551.0
14,74.08559738134205,74.7991879350348,69.24212121212122,72.91267241379309,531.0,596.0
15,4.719034369885434,4.151297539149889,6.223024691358025,4.8925,547.0,708.0
16,37.93139116202946,33.990867678958786,48.66757575757576,49.58201680672269,561.0,593.0
17,147.8676268412439,146.2328842105263,150.21939393939394,151.70723809523813,575.0,607.0
18,5906.081800327333,5807.849856262832,6264.88375,6133.708714285714,587.0,642.0
19,69.36837970540098,63.21256461232604,94.1078787878788,97.17662337662338,603.0,635.0
20,65.42335515548282,64.85363106796117,68.45774647887323,63.464814814814815,615.0,685.0
21,22.120540098199676,21.082748091603055,26.837575757575756,28.261607142857144,624.0,656.0
22,188.70500818330606,184.35166030534353,225.82121212121214,200.8283928571429,624.0,656.0
23,156.30240589198038,151.1697435897436,208.2123076923077,172.9217857142857,646.0,684.0
24,183.07003273322422,180.59672629695888,205.70226415094342,0.0,659.0,711.0
25,257.9237152209493,254.07384615384615,317.6681818181818,241.95523809523812,659.0,691.0
26,631.4863502454992,580.1962903225807,723.0336585365853,634.4853571428572,224.0,264.0
27,68.39859247135843,71.12335766423358,72.73171875,66.48740291262136,237.0,300.0
28,142.6985433715221,138.517106918239,172.626935483871,138.9329591836735,259.0,320.0
29,148.2021440261866,132.10723756906077,166.71537037037038,152.48007936507938,281.0,334.0
30,604.016464811784,581.5023766816144,682.8265957446808,604.3328862973761,323.0,369.0
