,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
produce,0.412532637075718,0.3222591362126246,0.33992094861660077,0.0,0.0,0.0,0.0,0.15153102805914542,0.025454545454545455,0.0,0.0,0.0,0.08908917340521114,0.24089635854341737,0.0,0.0,0.001402524544179523,0.08734829499056683,0.0,0.26436781609195403,0.0,0.0406885758998435,0.001303780964797914,0.0,0.0,0.10247349823321555,0.2721518987341772,0.0,0.0,0.07332293291731669
dairy,0.391644908616188,0.006644518272425249,0.0,0.055,0.0,1.0,0.0,0.09884736290604261,0.1006060606060606,0.0,0.02158273381294964,0.06451612903225806,0.1008254716981132,0.0,0.0,0.0,0.1458625525946704,0.10145580491650945,0.0,0.0,0.4462809917355372,0.0495565988523735,0.0,0.0,0.22033898305084745,0.13957597173144876,0.0,0.5121495327102804,0.30914368650217705,0.1095163806552262
meat,0.11488250652741515,0.18272425249169436,0.001976284584980237,0.06,0.0,0.0,0.06177606177606178,0.35685178716963556,0.11272727272727273,0.0,0.0,0.17258064516129032,0.1967374213836478,0.0028011204481792717,0.0,0.015609756097560976,0.37727910238429174,0.196181679948188,0.0,0.0,0.03305785123966942,0.02608242044861763,0.22685788787483702,0.0,0.11138014527845036,0.07302709069493522,0.01740506329113924,0.028037383177570093,0.07982583454281568,0.09921996879875195
beverages,0.0783289817232376,0.013289036544850499,0.08695652173913043,0.0,0.0,0.0,0.0,0.05058796134590755,0.15515151515151515,0.0,0.017985611510791366,0.01935483870967742,0.029116127583108716,0.06162464985994398,0.0,0.0,0.001402524544179523,0.029425844057105847,0.0,0.0361247947454844,0.04132231404958678,0.0505998956703182,0.2620599739243807,0.0,0.07263922518159806,0.07508833922261485,0.06645569620253164,0.041121495327102804,0.13497822931785197,0.10046801872074883
misc,0.0026109660574412533,0.0,0.25889328063241107,0.455,0.02708803611738149,0.0,0.0,0.02829200139713587,0.01696969696969697,0.035623409669211195,0.3381294964028777,0.0467741935483871,0.0215633423180593,0.13025210084033614,0.0,0.0,0.0,0.0205840114887506,0.032,0.12315270935960591,0.128099173553719,0.0,0.061277705345501955,0.02066772655007949,0.0,0.044169611307420496,0.13132911392405064,0.06542056074766354,0.06676342525399129,0.061778471138845555
junk_food,0.0,0.2026578073089701,0.0,0.005,0.0,0.0,0.019305019305019305,0.07451391314471999,0.03515151515151515,0.0,0.050359712230215826,0.0,0.03560197663971249,0.0,0.0,0.004878048780487805,0.26788218793828894,0.03198828597978205,0.0,0.0,0.03305785123966942,0.04329681794470527,0.2046936114732725,0.0,0.4406779661016949,0.12426383981154299,0.0,0.07850467289719626,0.20899854862119013,0.07020280811232449
grocery,0.0,0.18604651162790697,0.001976284584980237,0.025,0.013544018058690745,0.0,0.0,0.09285132145767842,0.04727272727272727,0.0,0.0,0.14838709677419354,0.04986522911051213,0.02100840336134454,0.0,0.0,0.1388499298737728,0.048827190043082815,0.0,0.0,0.17768595041322313,0.0010432968179447052,0.05215123859191656,0.0,0.1016949152542373,0.06890459363957598,0.004746835443037975,0.0,0.0,0.04274570982839314
grain_goods,0.0,0.08637873754152824,0.0,0.39,0.0,0.0,0.0,0.04686226568867156,0.24484848484848484,0.01272264631043257,0.0,0.5483870967741935,0.035798517520215636,0.0,0.0,0.0,0.06732117812061711,0.03716948723002844,0.0,0.0,0.14049586776859505,0.08659363588941053,0.09256844850065189,0.0010598834128245894,0.024213075060532687,0.15106007067137808,0.0,0.2336448598130841,0.14949201741654572,0.11138845553822153
home_family,0.0,0.0,0.2984189723320158,0.0,0.9593679458239278,0.0,0.7683397683397684,0.025847013622074748,0.10303030303030303,0.9338422391857506,0.5719424460431655,0.0,0.228829739442947,0.5406162464985994,1.0,0.08195121951219513,0.0,0.23168980373384396,0.968,0.5763546798029556,0.0,0.001564945226917058,0.04563233376792699,0.9777424483306836,0.02784503631961259,0.17815076560659598,0.5079113924050633,0.041121495327102804,0.0,0.2770670826833073
drug,0.0,0.0,0.011857707509881422,0.0,0.0,0.0,0.14285714285714285,0.01705670043078356,0.15878787878787878,0.017811704834605598,0.0,0.0,0.18250224618149147,0.0028011204481792717,0.0,0.8975609756097561,0.0,0.18412975530087575,0.0,0.0,0.0,0.0,0.05345501955671447,0.0,0.0012106537530266344,0.038869257950530034,0.0,0.0,0.05079825834542816,0.05210608424336974
